Product	Product information				One-to-one comparison		Source			Individual analyte levels reported																			Supporting fields for one-to-one comparison							Notes	DRI	
	Category	Country	Reported packaging type	Sample size (n)	Findings (ng/serving)	Analytes	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size estimate (g)	Phthalates (ng/serving)	Phthalates (n)	Phthalate substitutes (ng/serving)	Phthalate substitutes (n)	Bisphenols (ng/serving)	Bisphenols (n)		Created	Reviewed
Chicken: Bag 1 with spice 2 - Thigh 3	Meat and poultry	USA	Plastic bag	1	223 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.500	N/A	N/A	N/A	N/A	N/A	N/A	1.280	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	223	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Breast 3	Meat and poultry	USA	Plastic bag	1	62 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.300	N/A	N/A	N/A	N/A	N/A	N/A	0.110	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	62	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Spice 3	Condiments	USA	Plastic bag	1	146 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	11.400	N/A	N/A	N/A	N/A	N/A	N/A	17.800	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	146	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Wing 4	Meat and poultry	USA	Plastic bag	1	51 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.350	N/A	N/A	N/A	N/A	N/A	N/A	0.670	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	51	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Thigh 4	Meat and poultry	USA	Plastic bag	1	23 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.180	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	23	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Breast 4	Meat and poultry	USA	Plastic bag	1	33 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.220	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	33	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 with spice 2 - Spice 4	Condiments	USA	Plastic bag	1	163 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	14.500	N/A	N/A	N/A	N/A	N/A	N/A	18.100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	163	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 without spice - Wing 5	Meat and poultry	USA	Plastic bag	1	22 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.240	N/A	N/A	N/A	N/A	N/A	N/A	0.190	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	22	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 without spice - Thigh 5	Meat and poultry	USA	Plastic bag	1	8 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.060	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	8	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 1 without spice - Breast 5	Meat and poultry	USA	Plastic bag	1	14 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.090	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	14	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Wing 1	Meat and poultry	USA	Plastic bag	1	98 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.600	N/A	N/A	N/A	N/A	N/A	N/A	1.360	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	98	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Thigh 1	Meat and poultry	USA	Plastic bag	1	85 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.300	N/A	N/A	N/A	N/A	N/A	N/A	0.380	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	85	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Breast 1	Meat and poultry	USA	Plastic bag	1	540 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	1.170	N/A	N/A	N/A	N/A	N/A	N/A	2.430	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	540	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Spice 1	Condiments	USA	Plastic bag	1	339 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	29.300	N/A	N/A	N/A	N/A	N/A	N/A	38.500	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	339	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Wing 2	Meat and poultry	USA	Plastic bag	1	36 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.290	N/A	N/A	N/A	N/A	N/A	N/A	0.420	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	36	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Thigh 2	Meat and poultry	USA	Plastic bag	1	50 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.220	N/A	N/A	N/A	N/A	N/A	N/A	0.180	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	50	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Breast 2	Meat and poultry	USA	Plastic bag	1	68 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.260	N/A	N/A	N/A	N/A	N/A	N/A	0.190	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	68	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 3 - Spice 2	Condiments	USA	Plastic bag	1	232 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	13.400	N/A	N/A	N/A	N/A	N/A	N/A	32.900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	232	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Wing 3	Meat and poultry	USA	Plastic bag	1	62 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.560	N/A	N/A	N/A	N/A	N/A	N/A	0.680	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	62	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Thigh 3	Meat and poultry	USA	Plastic bag	1	359 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.740	N/A	N/A	N/A	N/A	N/A	N/A	2.130	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	359	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Breast 3	Meat and poultry	USA	Plastic bag	1	191 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.900	N/A	N/A	N/A	N/A	N/A	N/A	0.370	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	191	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Spice 3	Condiments	USA	Plastic bag	1	232 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	19.500	N/A	N/A	N/A	N/A	N/A	N/A	26.900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	232	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Wing 4	Meat and poultry	USA	Plastic bag	1	58 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.470	N/A	N/A	N/A	N/A	N/A	N/A	0.690	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	58	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Thigh 4	Meat and poultry	USA	Plastic bag	1	26 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.200	N/A	N/A	N/A	N/A	N/A	N/A	0.010	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	26	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Breast 4	Meat and poultry	USA	Plastic bag	1	161 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.840	N/A	N/A	N/A	N/A	N/A	N/A	0.230	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	161	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 with spice 4 - Spice 4	Condiments	USA	Plastic bag	1	159 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	18.600	N/A	N/A	N/A	N/A	N/A	N/A	13.100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	159	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 without spice - Wing 5	Meat and poultry	USA	Plastic bag	1	17 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.200	N/A	N/A	N/A	N/A	N/A	N/A	0.130	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	17	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 without spice - Thigh 5	Meat and poultry	USA	Plastic bag	1	20 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.160	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	20	2	0	0	0	0		Richel	Chandhana
Chicken: Bag 2 without spice - Breast 5	Meat and poultry	USA	Plastic bag	1	32 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.210	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	32	2	0	0	0	0		Richel	Chandhana
Chicken: Chicken meat without plastic bag and without spice - Wing	Meat and poultry	USA	Plastic bag	1	2 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.040	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	2	2	0	0	0	0		Richel	Chandhana
Chicken: Chicken meat without plastic bag and without spice - Thigh	Meat and poultry	USA	Plastic bag	1	38 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.150	N/A	N/A	N/A	N/A	N/A	N/A	0.150	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	125	38	2	0	0	0	0		Richel	Chandhana
Chicken: Chicken meat without plastic bag and without spice - Breast	Meat and poultry	USA	Plastic bag	1	12 ng/serving for 2 phthalates	Phthalates: DiBP, DBP	Moreira et al.	Analysis of plasticiser migration to meat roasted in plastic bags by SPME–GC/MS	2015	direct measurement	0.080	N/A	N/A	N/A	N/A	N/A	N/A	0.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150	12	2	0	0	0	0		Richel	Chandhana
Pasta	Grain	Tunisia	Plastic	2	144,270 ng/serving for 5 phthalates 45,000 ng/serving for 1 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DIDP Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	<25	<68	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	N/A	N/A	N/A	180	144,270	5	45,000	1	0	0	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Bread	Grain	Tunisia	Plastic	1	23,213 ng/serving for 5 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	<25	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	23,213	5	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Puff pastry	Processed food	Tunisia	Plastic	1	3,712,838 ng/serving for 5 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	123,000.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	3,712,838	5	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Milk	Dairy	Tunisia	Cardboard Box	1	804,300 ng/serving for 5 phthalates 60,000 ng/serving for 1 phthalate substitutes 240 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	2,590.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	240	804,300	5	60,000	1	240	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Butter	Dairy	Tunisia	Plastic and metal/aluminum foil	1	31,658 ng/serving for 5 phthalates 3,500 ng/serving for 1 phthalate substitutes 14 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	1,500.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	14	31,658	5	3,500	1	14	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Yogurt	Dairy	Tunisia	Plastic	1	448,688 ng/serving for 5 phthalates 37,500 ng/serving for 1 phthalate substitutes 150 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	2,230.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	150	448,688	5	37,500	1	150	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Oil	Oil	Tunisia	Plastic	1	97,318 ng/serving for 3 phthalates 3,500 ng/serving for 1 phthalate substitutes	Phthalates: DBP, BBP, DEHP Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	6,940.000	<12.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	N/A	N/A	N/A	14	97,318	3	3,500	1	0	0	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Harissa (chili pepper)	Oil	Tunisia	Aluminum foil	1	681 ng/serving for 3 phthalates 1,250 ng/serving for 1 phthalate substitutes	Phthalates: DBP, BBP, DEHP Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	<250	<12.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	N/A	N/A	N/A	5	681	3	1,250	1	0	0	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Orange juice	Beverages	Tunisia	Cardboard box with plastic cap and metal foil	3	482,700 ng/serving for 5 phthalates 60,000 ng/serving for 1 phthalate substitutes 240 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	1,250.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	240	482,700	5	60,000	1	240	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Peach juice	Beverages	Tunisia	Cardboard box with plastic cap and metal foil	3	485,100 ng/serving for 5 phthalates 60,000 ng/serving for 1 phthalate substitutes 240 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	1,260.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	240	485,100	5	60,000	1	240	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Fruit juice	Beverages	Tunisia	Cardboard box with plastic cap and metal foil	3	278,700 ng/serving for 5 phthalates 60,000 ng/serving for 1 phthalate substitutes 240 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	400.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	240	278,700	5	60,000	1	240	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Water	Beverages	Tunisia	Plastic	1	319,500 ng/serving for 5 phthalates 60,000 ng/serving for 1 phthalate substitutes 240 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	570.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	240	319,500	5	60,000	1	240	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Candy	Processed food	Tunisia	Plastic	1	93,338 ng/serving for 5 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	2,350.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	93,338	5	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Candy	Processed food	Tunisia	Plastic	1	47,138 ng/serving for 5 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	810.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	47,138	5	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Chocolate	Processed food	Tunisia	Cardboard box with plastic cap and metal foil	1	51,465 ng/serving for 5 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	69.000	<25	884.000	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	51,465	5	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Custard cream	Dairy	Tunisia	Plastic	1	638,188 ng/serving for 5 phthalates 31,250 ng/serving for 1 phthalate substitutes 125 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	780.000	<25	3,563.000	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	125	638,188	5	31,250	1	125	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Confectionery (sesame seed)	Seafood	Tunisia	Metal foil	1	22,688 ng/serving for 3 phthalates 7,500 ng/serving for 1 phthalate substitutes 30 ng/serving for 1 bisphenols	Phthalates: DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	N/A	N/A	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	30	22,688	3	7,500	1	30	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Sparus aurata collected from Sousse Coast - Farms	Seafood	Tunisia	N/A	2	132,938 ng/serving for 5 phthalates 37,500 ng/serving for 1 phthalate substitutes 150 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	<250	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	150	132,938	5	37,500	1	150	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Sparus aurata collected from Sousse Coast - Wild 	Seafood	Tunisia	N/A	2	395,438 ng/serving for 5 phthalates 37,500 ng/serving for 1 phthalate substitutes 150 ng/serving for 1 bisphenols	Phthalates: DBP, BBP, DEHP, DINP, DIDP Bisphenols: BPA Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	1,500.000	<12.5	<750	750.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	<2	N/A	N/A	150	395,438	5	37,500	1	150	1	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Sparus aurata from Monastir Coast - Farms	Seafood	Tunisia	N/A	2	132,938 ng/serving for 5 phthalates 37,500 ng/serving for 1 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DIDP Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	<250	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	N/A	N/A	N/A	150	132,938	5	37,500	1	0	0	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
Sparus aurata from Monastir Coast - Wild 	Seafood	Tunisia	N/A	2	163,688 ng/serving for 5 phthalates 37,500 ng/serving for 1 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DIDP Phthalate substitutes: DINCH	Beltifa et al. 	Plasticizers and bisphenol A, in packaged foods sold in the Tunisian markets	2017	direct measurement	<10	330.000	<12.5	<750	<750	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<500	N/A	N/A	N/A	N/A	150	163,688	5	37,500	1	0	0	This paper reported 100-10,000x higher LOQs than other papers in this database.	Chandhana	Richel
